City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
493,pitsunda,43.1592,40.3378,35.78,51,0,5.46,GE,1674626627
494,adre,13.4667,22.2,64.26,16,85,13.18,TD,1674626627
495,urubicha,-15.3833,-62.95,70.97,97,98,3.11,BO,1674626628
496,qrendi,35.8347,14.4583,47.86,87,20,5.75,MT,1674626629
497,alcoentre,39.2086,-8.9595,41.34,89,0,3.29,PT,1674626630
498,metro,-5.1131,105.3067,78.12,83,100,4.79,ID,1674626631
499,shubarshi,48.5872,57.1869,11.17,89,14,4.18,KZ,1674626632
500,hitoyoshi,32.2167,130.75,33.64,36,1,6.62,JP,1674626632
501,joshimath,30.5667,79.5667,49.78,81,99,10.49,IN,1674626633
502,tabuk,17.4189,121.4443,65.5,87,100,9.19,PH,1674626634
503,craig,40.5153,-107.5464,13.39,85,100,0.0,US,1674626442
504,maneadero,31.7167,-116.5667,55.2,38,3,5.91,MX,1674626635
505,ketchikan,55.3422,-131.6461,45.07,100,100,12.66,US,1674626636
506,barcs,45.96,17.4586,33.98,96,100,4.25,HU,1674626637
507,san angelo,31.4638,-100.437,35.82,84,0,9.22,US,1674626637
508,melbu,68.5044,14.8297,33.58,100,75,1.14,NO,1674626639
509,gostilitsy,59.7483,29.622,30.81,96,100,11.9,RU,1674626639
510,pemangkat,1.1667,108.9667,80.04,85,100,9.8,ID,1674626640
511,bozeman,45.6796,-111.0386,27.82,89,100,0.0,US,1674626641
512,karaton,-6.3424,106.1045,78.17,84,98,7.92,ID,1674626641
513,portel,-1.9356,-50.8211,71.62,97,81,3.29,BR,1674626643
514,ewo,-0.8725,14.8206,75.29,77,100,2.57,CG,1674626644
515,camacha,33.0833,-16.3333,56.62,51,40,13.8,PT,1674626644
516,iskilip,40.7353,34.4739,34.38,90,20,4.83,TR,1674626645
517,ambilobe,-13.2,49.05,79.07,86,71,3.44,MG,1674626646
518,tando adam,25.7637,68.661,64.35,14,0,9.04,PK,1674626646
519,hualmay,-11.0964,-77.6139,69.46,86,98,6.11,PE,1674626647
520,zhanaozen,43.3,52.8,27.28,40,7,5.99,KZ,1674626648
521,kayerkan,69.3497,87.7602,-8.48,76,100,11.77,RU,1674626649
522,palmer,42.1584,-72.3287,33.42,80,100,6.91,US,1674626649
523,namatanai,-3.6667,152.4333,82.89,71,98,5.7,PG,1674626650
524,ixtapa,20.7,-105.2,62.67,92,13,2.8,MX,1674626651
525,zonguldak,41.25,31.8333,36.45,86,100,2.17,TR,1674626651
526,viedma,-40.8135,-62.9967,63.07,37,2,14.14,AR,1674626442
527,vanavara,60.34,102.2797,-24.3,93,99,3.51,RU,1674626652
528,ekhabi,53.5102,142.9671,13.46,86,100,28.88,RU,1674626653
529,verkhnevilyuysk,63.4453,120.3167,-41.71,98,90,1.95,RU,1674626654
530,evensk,61.95,159.2333,9.9,74,100,29.39,RU,1674626655
531,constanta,44.1833,28.65,32.7,86,100,12.19,RO,1674626646
532,cururupu,-1.8283,-44.8683,72.48,97,56,2.26,BR,1674626656
533,rawson,-43.3002,-65.1023,63.03,34,0,10.2,AR,1674626469
534,liusha,27.2098,108.59,44.02,30,2,3.69,CN,1674626657
535,alausi,-2.2,-78.8333,45.95,93,82,5.88,EC,1674626658
536,kothen,51.75,11.9667,34.09,80,99,4.72,DE,1674626658
537,broome,42.2506,-75.833,28.78,80,100,4.61,US,1674626659
538,banda aceh,5.5577,95.3222,84.49,66,92,9.04,ID,1674626660
539,kampot,10.6167,104.1833,82.45,51,80,17.25,KH,1674626660
540,vrangel,42.7297,133.0839,9.75,54,9,18.92,RU,1674626661
541,yulara,-25.2406,130.9889,100.99,13,76,5.57,AU,1674626662
542,itoman,26.1247,127.6694,59.02,58,75,16.11,JP,1674626662
543,kushmurun,52.4503,64.6311,6.89,93,33,12.57,KZ,1674626663
544,inhambane,-23.865,35.3833,82.38,89,75,9.22,MZ,1674626664
545,scarborough,54.2797,-0.4044,47.66,92,100,1.99,GB,1674626413
546,koson,39.0375,65.585,21.52,68,25,4.65,UZ,1674626665
547,londoko,49.0333,131.9833,-9.42,76,18,11.07,RU,1674626666
548,sambava,-14.2667,50.1667,81.81,66,87,4.25,MG,1674626667
549,sirari,-1.2333,34.4333,70.95,52,96,1.66,TZ,1674626667
550,kalmunai,7.4167,81.8167,80.98,67,94,11.03,LK,1674626668
551,pontianak,-0.0333,109.3333,82.38,78,75,5.75,ID,1674626669
552,ostrovnoy,68.0531,39.5131,24.75,88,100,28.74,RU,1674626669
553,siena,43.2167,11.4,41.18,84,67,1.99,IT,1674626500
554,mayumba,-3.432,10.6554,77.9,84,99,4.29,GA,1674626670
555,oistins,13.0667,-59.5333,75.29,88,40,20.71,BB,1674626671
556,bilibino,68.0546,166.4372,-15.95,71,98,4.85,RU,1674626672
557,dubrovnik,42.6481,18.0922,46.04,57,0,18.41,HR,1674626673
